customer_id,customer_name,gender,signup_date,city,state,region,acquisition_channel
100030,Pooja Kumar,Male,2024-11-11,Surat,Gujarat,West,Organic Search
100031,Riya Sharma,Male,2025-05-12,Ahmedabad,Gujarat,West,Paid Search
100032,Simran Mishra,Male,2025-02-03,Bengaluru,Karnataka,South,Paid Search
100033,Karan Singh,Female,2024-01-07,Nagpur,Maharashtra,West,Organic Search
100034,Priya Joshi,Male,2025-04-11,Kolkata,West Bengal,East,Referral
100035,Nisha Kumar,Male,2023-12-24,Thiruvananthapuram,Kerala,South,Organic Search
100036,Arjun Verma,Female,2025-02-15,Lucknow,Uttar Pradesh,North,Organic Search
100037,Neha Joshi,Female,2025-06-15,Ludhiana,Punjab,North,Referral
100038,Sneha Gupta,Female,2024-11-19,Amritsar,Punjab,North,Affiliate
100039,Vikram Mishra,Male,2024-06-04,Chennai,Tamil Nadu,South,Organic Search
100040,Vivaan Mehta,Male,2025-03-07,Bhopal,Madhya Pradesh,Central,Social Media
100041,Rahul Verma,Male,2023-03-20,New Delhi,Delhi,North,Organic Search
100042,Neha Agarwal,Male,2025-07-22,Faridabad,Haryana,North,Referral
100043,Simran Gupta,Male,2024-07-02,Gaya,Bihar,East,Email
100044,Sneha Jain,Male,2024-09-15,Warangal,Telangana,South,Paid Search
100045,Rohan Singh,Male,2023-08-10,Nagpur,Maharashtra,West,Referral
100046,Arjun Mishra,Male,2023-06-09,Visakhapatnam,Andhra Pradesh,South,Referral
100047,Pooja Mishra,Female,2024-02-03,Vadodara,Gujarat,West,Referral
100048,Arjun Kumar,Female,2025-06-12,Thiruvananthapuram,Kerala,South,Paid Search
100049,Vivaan Yadav,Female,2023-01-16,Gaya,Bihar,East,Paid Search
100050,Aarav Pandey,Male,2024-12-24,Gurugram,Haryana,North,Affiliate
100051,Isha Jain,Female,2025-12-20,Faridabad,Haryana,North,Referral
100052,Simran Agarwal,Female,2025-01-21,New Delhi,Delhi,North,Referral
100053,Ananya Agarwal,Male,2023-11-19,Warangal,Telangana,South,Referral
100054,Rohan Patel,Male,2023-11-19,Udaipur,Rajasthan,North,Affiliate
100055,Rahul Mishra,Male,2024-01-01,Jodhpur,Rajasthan,North,Social Media
100056,Rohan Singh,Male,2023-06-13,Noida,Uttar Pradesh,North,Affiliate
100057,Karan Verma,Male,2024-10-16,Siliguri,West Bengal,East,Email
100058,Pooja Gupta,Male,2025-05-04,New Delhi,Delhi,North,Organic Search
100059,Nisha Patel,Male,2024-07-19,Faridabad,Haryana,North,Paid Search
100060,Rahul Mehta,Male,2023-02-24,Gaya,Bihar,East,Paid Search
100061,Vikram Agarwal,Male,2025-08-05,Thiruvananthapuram,Kerala,South,Organic Search
100062,Sneha Joshi,Female,2024-03-16,Gurugram,Haryana,North,Social Media
100063,Neha Saxena,Female,2024-07-13,Hyderabad,Telangana,South,Paid Search
100064,Aditya Verma,Male,2024-07-11,Visakhapatnam,Andhra Pradesh,South,Organic Search
100065,Arjun Mehta,Male,2024-11-25,Surat,Gujarat,West,Social Media
100066,Sneha Patel,Male,2023-01-20,Madurai,Tamil Nadu,South,Organic Search
100067,Pooja Yadav,Female,2023-09-24,Thiruvananthapuram,Kerala,South,Social Media
100068,Sneha Agarwal,Female,2024-10-15,Hyderabad,Telangana,South,Paid Search
100069,Aditi Agarwal,Female,2024-03-01,Mumbai,Maharashtra,West,Social Media
100070,Arjun Kumar,Male,2023-05-11,Udaipur,Rajasthan,North,Organic Search
100071,Priya Mehta,Male,2025-10-02,Gurugram,Haryana,North,Paid Search
100072,Priya Mishra,Male,2023-09-22,New Delhi,Delhi,North,Social Media
100073,Rahul Sharma,Female,2023-09-01,Surat,Gujarat,West,Organic Search
100074,Kavya Joshi,Male,2025-12-23,Mumbai,Maharashtra,West,Organic Search
100075,Karan Singh,Female,2023-09-09,Patna,Bihar,East,Paid Search
100076,Pooja Mehta,Male,2024-09-05,Jodhpur,Rajasthan,North,Social Media
100077,Neha Mehta,Male,2024-07-20,Madurai,Tamil Nadu,South,Paid Search
100078,Rahul Mehta,Male,2025-11-26,Mangaluru,Karnataka,South,Email
100079,Rahul Sharma,Female,2025-11-10,Kolkata,West Bengal,East,Paid Search
100080,Priya Gupta,Female,2024-06-23,Gaya,Bihar,East,Email
100081,Rahul Patel,Male,2023-02-19,Vijayawada,Andhra Pradesh,South,Social Media
100082,Isha Tiwari,Female,2025-05-29,Surat,Gujarat,West,Referral
100083,Pooja Kumar,Female,2024-12-02,New Delhi,Delhi,North,Referral
100084,Meera Mehta,Female,2023-02-11,Ludhiana,Punjab,North,Organic Search
100085,Aditya Gupta,Male,2023-06-04,Gwalior,Madhya Pradesh,Central,Paid Search
100086,Simran Gupta,Male,2023-11-15,Patna,Bihar,East,Organic Search
100087,Ananya Tiwari,Female,2025-07-17,Pune,Maharashtra,West,Paid Search
100088,Isha Kumar,Female,2023-11-07,Chennai,Tamil Nadu,South,Social Media
100089,Riya Verma,Female,2025-08-29,Faridabad,Haryana,North,Referral
100090,Ananya Pandey,Female,2023-03-18,Ludhiana,Punjab,North,Organic Search
100091,Simran Sharma,Male,2024-07-13,Surat,Gujarat,West,Organic Search
100092,Karan Mehta,Female,2025-11-08,Amritsar,Punjab,North,Organic Search
100093,Aditi Verma,Male,2024-12-12,Ludhiana,Punjab,North,Referral
100094,Nisha Tiwari,Male,2024-07-06,Hyderabad,Telangana,South,Affiliate
100095,Arjun Singh,Male,2024-03-01,Kochi,Kerala,South,Paid Search
100096,Priya Tiwari,Female,2024-10-11,Chennai,Tamil Nadu,South,Social Media
100097,Simran Mishra,Female,2023-10-06,Mangaluru,Karnataka,South,Organic Search
100098,Vikram Tiwari,Male,2024-07-23,Gaya,Bihar,East,Organic Search
100099,Isha Pandey,Male,2023-03-03,Gwalior,Madhya Pradesh,Central,Referral
100100,Aditya Yadav,Female,2023-09-30,New Delhi,Delhi,North,Paid Search
100101,Karan Mehta,Female,2025-03-11,Ludhiana,Punjab,North,Referral
100102,Isha Tiwari,Female,2025-10-09,New Delhi,Delhi,North,Paid Search
100103,Neha Joshi,Male,2024-04-11,Ludhiana,Punjab,North,Referral
100104,Isha Jain,Female,2025-01-02,Kanpur,Uttar Pradesh,North,Email
100105,Sneha Kumar,Female,2024-05-12,Gurugram,Haryana,North,Organic Search
100106,Nisha Mishra,Male,2023-05-16,Faridabad,Haryana,North,Organic Search
100107,Aditya Gupta,Female,2025-11-18,Gurugram,Haryana,North,Social Media
100108,Pooja Pandey,Female,2024-05-20,Indore,Madhya Pradesh,Central,Social Media
100109,Priya Agarwal,Female,2023-05-04,Udaipur,Rajasthan,North,Email
100110,Nisha Gupta,Male,2023-01-02,Patna,Bihar,East,Organic Search
100111,Simran Patel,Male,2023-08-12, Coimbatore ,Tamil Nadu,South,Referral
100112,Karan Gupta,Male,2025-01-08,Faridabad,Haryana,North,Organic Search
100113,Aditi Agarwal,Male,2023-12-27,Siliguri,West Bengal,East,Organic Search
100114,Sneha Jain,Male,2024-07-27,Surat,Gujarat,West,Affiliate
100115,Rohan Verma,Female,2023-06-30,Jodhpur,Rajasthan,North,Paid Search
100116,Vivaan Tiwari,Male,2025-09-17,Kolkata,West Bengal,East,Paid Search
100117,Arjun Verma,Male,2025-11-30,Kanpur,Uttar Pradesh,North,Email
100118,Pooja Mishra,Male,2025-11-03,New Delhi,Delhi,North,Organic Search
100119,Priya Verma,Male,2024-11-12,Bengaluru,Karnataka,South,Organic Search
100120,Aditya Jain,Female,2023-04-18,Nashik,Maharashtra,West,Email
100121,Simran Singh,Female,2023-05-11,Vadodara,Gujarat,West,Organic Search
100122,Sneha Gupta,Female,2023-04-08,Patna,Bihar,East,Referral
100123,Riya Patel,Male,2024-06-27,Bhopal,Madhya Pradesh,Central,Referral
100124,Rohan Verma,Male,2025-09-11,Jodhpur,Rajasthan,North,Affiliate
100125,Arjun Saxena,Female,2025-05-22,Amritsar,Punjab,North,Paid Search
100126,Simran Jain,Female,2024-07-14,Kolkata,West Bengal,East,Paid Search
100127,Meera Singh,Male,2025-03-31,Mumbai,Maharashtra,West,Email
100128,Rahul Verma,Female,2024-05-29,Faridabad,Haryana,North,Referral
100129,Vikram Agarwal,Male,2024-11-13,Kolkata,West Bengal,East,Paid Search
100130,Karan Verma,Female,2024-09-17,Indore,Madhya Pradesh,Central,Referral
100131,Kavya Verma,Female,2024-10-23,Siliguri,West Bengal,East,Referral
100132,Rahul Sharma,Male,2024-05-25,Kolkata,West Bengal,East,Social Media
100133,Vivaan Sharma,Male,2025-03-24,Nashik,Maharashtra,West,Social Media
100134,Aditi Gupta,Male,2024-11-03,Siliguri,West Bengal,East,Email
100135,Aarav Saxena,Male,2025-11-05,Gurugram,Haryana,North,Affiliate
100136,Pooja Mehta,Male,2024-06-23,Chennai,Tamil Nadu,South,Referral
100137,Karan Mehta,Female,2024-10-25,Bhopal,Madhya Pradesh,Central,Organic Search
100138,Neha Agarwal,Male,2024-08-03,Agra,Uttar Pradesh,North,Referral
100139,Vivaan Verma,Male,2023-12-18,Warangal,Telangana,South,Paid Search
100140,Arjun Tiwari,Female,2023-03-30,Surat,Gujarat,West,Paid Search
100141,Ananya Tiwari,Female,2023-08-22,Vijayawada,Andhra Pradesh,South,Affiliate
100142,Vikram Yadav,Female,2025-11-14,Mysuru,Karnataka,South,Paid Search
100143,Priya Yadav,Female,2025-11-23,Coimbatore,Tamil Nadu,South,Social Media
100144,Aarav Kumar,Female,2023-06-27,Surat,Gujarat,West,Organic Search
100145,Nisha Pandey,Male,2024-09-26,Visakhapatnam,Andhra Pradesh,South,Affiliate
100146,Ananya Mishra,Male,2023-10-09,Amritsar,Punjab,North,Social Media
100147,Neha Tiwari,Male,2024-09-12,Agra,Uttar Pradesh,North,Email
100148,Simran Patel,Female,2024-12-18,Mangaluru,Karnataka,South,Organic Search
100149,Vivaan Jain,Male,2023-02-06,Ludhiana,Punjab,North,Referral
100150,Neha Saxena,Female,2025-11-06,,Uttar Pradesh,North,Social Media
100151,Sneha Sharma,Female,2025-10-02,Ludhiana,Punjab,North,Referral
100152,Rohan Kumar,Male,2025-11-08,Coimbatore,Tamil Nadu,South,Social Media
100153,Rohan Mishra,Female,2024-05-29,Kochi,Kerala,South,Paid Search
100154,Arjun Pandey,Male,2025-02-25,Coimbatore,Tamil Nadu,South,Email
100155,Kavya Yadav,Male,2025-12-30,Ahmedabad,Gujarat,West,Organic Search
100156,Isha Joshi,Male,2023-07-29,Indore,Madhya Pradesh,Central,Social Media
100157,Neha Patel,Female,2023-07-03,Nagpur,Maharashtra,West,Paid Search
100158,Aditya Agarwal,Male,2025-05-28,Siliguri,West Bengal,East,Paid Search
100159,Arjun Sharma,Female,2023-12-24,Jodhpur,Rajasthan,North,Organic Search
100160,Neha Tiwari,Male,2023-07-18,Faridabad,Haryana,North,Social Media
100161,Rahul Gupta,Male,2023-08-19,Vijayawada,Andhra Pradesh,South,Organic Search
100162,Kavya Gupta,Male,2025-01-23,Bhopal,Madhya Pradesh,Central,Paid Search
100163,Vivaan Sharma,Female,2024-02-19,Surat,Gujarat,West,Social Media
100164,Vikram Yadav,Female,2023-12-03,Surat,Gujarat,West,Social Media
100165,Simran Tiwari,Female,2025-12-05,Ahmedabad,Gujarat,West,Social Media
100166,Karan Yadav,Female,2025-12-06,Ludhiana,Punjab,North,Social Media
100167,Meera Gupta,Female,2024-03-30,Madurai,Tamil Nadu,South,Paid Search
100168,Karan Tiwari,Male,2023-09-10,New Delhi,Delhi,North,Social Media
100169,Pooja Joshi,Female,2025-06-24,Hyderabad,Telangana,South,Organic Search
100170,Sneha Singh,Female,2025-04-02,Noida,Uttar Pradesh,North,Social Media
100171,Ananya Kumar,Female,2025-04-07,Nagpur,Maharashtra,West,Organic Search
100172,Aditya Agarwal,Male,2023-08-25,Pune,Maharashtra,West,Affiliate
100173,Vivaan Singh,Male,2023-11-23,Faridabad,Haryana,North,Paid Search
100174,Aditya Saxena,Female,2023-03-29,Patna,Bihar,East,Referral
100175,Meera Joshi,Male,2024-09-26,Patna,Bihar,East,Email
100176,Riya Joshi,Male,2023-02-19,Surat,Gujarat,West,Email
100177,Rohan Verma,Female,2025-07-21,Patna,Bihar,East,Affiliate
100178,Rohan Joshi,Male,2023-12-12,New Delhi,Delhi,North,Affiliate
100179,Vikram Tiwari,Female,2024-10-31,Thiruvananthapuram,Kerala,South,Affiliate
100180,Vikram Agarwal,Male,2023-06-28,Jaipur,Rajasthan,North,Social Media
100181,Pooja Joshi,Male,2023-10-18,Vijayawada,Andhra Pradesh,South,Affiliate
100182,Neha Mehta,Male,2023-10-24,New Delhi,Delhi,North,Paid Search
100183,Pooja Mishra,Female,2025-08-03,Jodhpur,Rajasthan,North,Organic Search
100184,Vivaan Mehta,Female,2025-12-08,Gaya,Bihar,East,Referral
100185,Kavya Mehta,Female,2023-04-25,Jaipur,Rajasthan,North,Organic Search
100186,Meera Yadav,Male,2025-12-09,Ahmedabad,Gujarat,West,Social Media
100187,Riya Gupta,Male,2024-12-18,New Delhi,Delhi,North,Social Media
100188,Isha Mishra,Male,2023-09-07,Warangal,Telangana,South,Paid Search
100189,Sneha Sharma,Female,2024-05-06,Mangaluru,Karnataka,South,Email
100190,Sneha Patel,Female,2023-02-10,Madurai,Tamil Nadu,South,Organic Search
100191,Vivaan Kumar,Female,2024-04-22,Patna,Bihar,East,Referral
100192,Karan Gupta,Female,2025-01-08,Indore,Madhya Pradesh,Central,Referral
100193,Simran Pandey,Male,2025-08-21,Bhopal,Madhya Pradesh,Central,Organic Search
100194,Simran Verma,Female,2025-11-07,Warangal,Telangana,South,Organic Search
100195,Riya Patel,Female,2025-12-09,Vijayawada,Andhra Pradesh,South,Social Media
100196,Isha Mehta,Male,2025-11-26,Pune,Maharashtra,West,Paid Search
100197,Rahul Saxena,Male,2024-03-25,Hyderabad,Telangana,South,Paid Search
100198,Aditi Kumar,Male,2023-10-14,Nagpur,Maharashtra,West,Social Media
100199,Sneha Tiwari,Male,2023-06-28,Hyderabad,Telangana,South,Email
100200,Vivaan Sharma,Female,2023-06-30,Visakhapatnam,Andhra Pradesh,South,Paid Search
100201,Vivaan Pandey,Female,2023-02-13,Hyderabad,Telangana,South,Organic Search
100202,Pooja Yadav,Male,2025-02-15,Thiruvananthapuram,Kerala,South,Referral
100203,Isha Jain,Female,2023-12-19,Udaipur,Rajasthan,North,Paid Search
100204,Karan Patel,Male,2024-07-10,Patna,Bihar,East,Referral
100205,Nisha Joshi,Male,2024-01-10,Vadodara,Gujarat,West,Email
100206,Arjun Singh,Male,2024-08-13,Mangaluru,Karnataka,South,Organic Search
100207,Arjun Mehta,Male,2024-04-11,Faridabad,Haryana,North,Affiliate
100208,Vikram Patel,Female,2024-10-03,Visakhapatnam,Andhra Pradesh,South,Organic Search
100209,Priya Sharma,Female,2023-06-08,Mysuru,Karnataka,South,Organic Search
100210,Priya Verma,Male,2025-09-17,Faridabad,Haryana,North,Organic Search
100211,Isha Yadav,Male,2024-06-23,Bengaluru,Karnataka,South,Social Media
100212,Arjun Gupta,Male,2025-02-01,Gaya,Bihar,East,Referral
100213,Ananya Gupta,Female,2025-10-29,Faridabad,Haryana,North,Affiliate
100214,Ananya Sharma,Male,2023-04-08,Surat,Gujarat,West,Email
100215,Nisha Gupta,Female,2023-09-12,Faridabad,Haryana,North,Email
100216,Aditi Mehta,Female,2024-08-16,Chennai,Tamil Nadu,South,Organic Search
100217,Simran Saxena,Male,2025-01-19,Pune,Maharashtra,West,Organic Search
100218,Simran Patel,Female,2024-06-03,Mumbai,Maharashtra,West,Organic Search
100219,Aditya Pandey,Female,2023-02-11,Ahmedabad,Gujarat,West,Paid Search
100220,Ananya Singh,Female,2025-01-27,Thiruvananthapuram,Kerala,South,Organic Search
100221,Simran Mishra,Male,2024-12-05,Mumbai,Maharashtra,West,Paid Search
100222,Aditi Kumar,Male,2023-01-18,Surat,Gujarat,West,Organic Search
100223,Nisha Joshi,Male,2025-10-23,Patna,Bihar,East,Paid Search
100224,Aarav Mehta,Male,2025-08-31,Mysuru,Karnataka,South,Social Media
100225,Neha Sharma,Male,2023-11-06,Gaya,Bihar,East,Affiliate
100226,Aditya Yadav,Male,2024-10-30,Coimbatore,Tamil Nadu,South,Organic Search
100227,Aditya Pandey,Female,2025-06-12,Amritsar,Punjab,North,Social Media
100228,Sneha Singh,Male,2024-05-06,Kolkata,West Bengal,East,Email
100229,Riya Patel,Male,2023-04-01,Siliguri,West Bengal,East,Email
100230,Meera Yadav,Male,2024-03-18,New Delhi,Delhi,North,Affiliate
100231,Ananya Patel,Female,2024-01-28,Vadodara,Gujarat,West,Organic Search
100232,Aditi Pandey,Male,2025-06-10,Ludhiana,Punjab,North,Email
100233,Pooja Gupta,Male,2023-01-08,Varanasi,Uttar Pradesh,North,Email
100234,Vivaan Verma,Female,2025-11-05,Gurugram,Haryana,North,Email
100235,Pooja Joshi,Female,2024-01-24,Udaipur,Rajasthan,North,Social Media
100236,Vivaan Jain,Male,2024-02-26,Gaya,Bihar,East,Organic Search
100237,Vikram Joshi,Male,2023-12-06,Indore,Madhya Pradesh,Central,Paid Search
100238,Vikram Tiwari,Male,2023-01-25,Ahmedabad,Gujarat,West,Social Media
100239,Riya Yadav,Male,2025-01-28,Madurai,Tamil Nadu,South,Social Media
100240,Aditya Mehta,Male,2025-03-22,Indore,Madhya Pradesh,Central,Organic Search
100241,Aditi Singh,Female,2023-11-19,New Delhi,Delhi,North,Organic Search
100242,Karan Agarwal,Male,2023-05-17,Siliguri,West Bengal,East,Referral
100243,Priya Patel,Female,2025-06-20,Nagpur,Maharashtra,West,Organic Search
100244,Simran Saxena,Male,2025-01-27,Bhopal,Madhya Pradesh,Central,Organic Search
100245,Neha Tiwari,Male,2023-11-16,Bhopal,Madhya Pradesh,Central,Organic Search
100246,Isha Patel,Male,2025-01-03,Nashik,Maharashtra,West,Organic Search
100247,Simran Tiwari,Male,2023-09-02,Gurugram,haryana,North,Social Media
100248,Arjun Yadav,Male,2024-11-26,Vadodara,Gujarat,West,Referral
100249,Karan Joshi,Female,2024-06-25,Gurugram,Haryana,North,Organic Search
100250,Pooja Sharma,Male,2023-07-28,Agra,Uttar Pradesh,North,Affiliate
100251,Vikram Tiwari,Female,2024-12-19,New Delhi,Delhi,North,Organic Search
100252,Neha Jain,Female,2023-07-18,Jodhpur,Rajasthan,North,Affiliate
100253,Kavya Verma,Male,2025-08-31,New Delhi,Delhi,North,Organic Search
100254,Simran Tiwari,Male,2023-04-22,Chennai,Tamil Nadu,South,Referral
100255,Vikram Patel,Female,2025-06-09,Bhopal,Madhya Pradesh,Central,Social Media
100256,Rohan Agarwal,Male,2023-11-11,New Delhi,Delhi,North,Email
100257,Kavya Agarwal,Male,2024-07-28,Gaya,Bihar,East,Paid Search
100258,Sneha Pandey,Male,2025-07-23,Mumbai,Maharashtra,West,Paid Search
100259,Kavya Pandey,Female,2025-12-07,New Delhi,Delhi,North,Affiliate
100260,Nisha Tiwari,Male,2024-07-01,Kolkata,West Bengal,East,Organic Search
100261,Rahul Singh,Male,2023-11-21,Gurugram,Haryana,North,Organic Search
100262,Meera Verma,Female,2025-03-26,New Delhi,Delhi,North,Affiliate
100263,Rohan Saxena,Male,2025-12-30,Coimbatore,Tamil Nadu,South,Social Media
100264,Rahul Pandey,Female,2023-11-23,Thiruvananthapuram,Kerala,South,Email
100265,Kavya Yadav,Male,2024-02-26,Vijayawada,Andhra Pradesh,South,Social Media
100266,Rohan Yadav,Male,2025-06-27,Siliguri,West Bengal,East,Social Media
100267,Aarav Agarwal,Female,2023-10-15,Vadodara,Gujarat,West,Paid Search
100268,Neha Gupta,Female,2024-09-09,Warangal,Telangana,South,Social Media
100269,Vikram Verma,Female,2024-02-24,Indore,Madhya Pradesh,Central,Referral
100270,Aarav Jain,Male,2024-07-11,Siliguri,West Bengal,East,Organic Search
100271,Karan Gupta,Male,2024-10-03,Coimbatore,Tamil Nadu,South,Social Media
100272,Vikram Saxena,Female,2024-07-19,Lucknow,Uttar Pradesh,North,Organic Search
100273,Ananya Tiwari,Female,2024-06-02,New Delhi,Delhi,North,Social Media
100274,Priya Saxena,Male,2024-02-23,Visakhapatnam,Andhra Pradesh,South,Paid Search
100275,Arjun Mehta,Male,2023-02-24,Ahmedabad,Gujarat,West,Organic Search
100276,Isha Kumar,Female,2025-05-06,Jodhpur,Rajasthan,North,Social Media
100277,Nisha Agarwal,Male,2024-01-25,Jodhpur,Rajasthan,North,Organic Search
100278,Meera Yadav,Female,2023-03-22,Faridabad,Haryana,North,Email
100279,Arjun Mishra,Male,2024-06-22,Noida,Uttar Pradesh,North,Paid Search
100280,Sneha Verma,Female,2025-06-18,Pune,Maharashtra,West,Organic Search
100281,Arjun Singh,Female,2024-12-27,Madurai,Tamil Nadu,South,Paid Search
100282,Vikram Gupta,Female,2024-10-13,Udaipur,Rajasthan,North,Paid Search
100283,Simran Tiwari,Male,2025-11-09,Patna,Bihar,East,Organic Search
100284,Aditya Kumar,Female,2025-01-06,Jaipur,Rajasthan,North,Paid Search
100285,Nisha Saxena,Female,2025-11-12,Vadodara,Gujarat,West,Social Media
100286,Karan Kumar,Male,2025-09-06,Vijayawada,Andhra Pradesh,South,Social Media
100287,Pooja Tiwari,Female,2024-07-16,New Delhi,Delhi,North,Email
100288,Priya Patel,Female,2023-03-19,Kolkata,West Bengal,East,Referral
100289,Sneha Jain,Female,2024-09-15,Siliguri,West Bengal,East,Paid Search
100290,Pooja Kumar,Male,2025-11-03,Jodhpur,Rajasthan,North,Email
100291,Vivaan Jain,Male,2025-02-03,Amritsar,Punjab,North,Organic Search
100292,Rahul Jain,Female,2023-08-31,Madurai,Tamil Nadu,South,Email
100293,Meera Pandey,Female,2025-07-03,Visakhapatnam,Andhra Pradesh,South,Email
100294,Meera Patel,Female,2025-07-07,Coimbatore,Tamil Nadu,South,Email
100295,Sneha Pandey,Male,2025-03-27,Kolkata,West Bengal,East,Affiliate
100296,Nisha Mehta,Male,2023-06-22,Udaipur,Rajasthan,North,Organic Search
100297,Aarav Kumar,Male,2025-02-27,Amritsar,Punjab,North,Organic Search
100298,Nisha Jain,Male,2025-08-05,Vadodara,Gujarat,West,Email
100299,Neha Jain,Female,2024-05-04,Madurai,Tamil Nadu,South,Email
100300,Nisha Pandey,Female,2025-01-20,Varanasi,Uttar Pradesh,North,Paid Search
100301,Priya Tiwari,Female,2025-08-09,Warangal,Telangana,South,Paid Search
100302,Meera Tiwari,Female,2025-03-14,Amritsar,Punjab,North,Social Media
100303,Riya Mishra,Female,2024-12-26,Varanasi,Uttar Pradesh,North,Organic Search
100304,Simran Gupta,Female,2024-04-01,Kochi,Kerala,South,Affiliate
100305,Vivaan Gupta,Male,2023-06-24,Kolkata,West Bengal,East,Email
100306,Meera Singh,Male,2023-10-24,New Delhi,Delhi,North,Email
100307,Priya Yadav,Male,2024-10-17,Coimbatore,Tamil Nadu,South,Paid Search
100308,Rohan Gupta,Female,2025-03-17,Siliguri,West Bengal,East,Organic Search
100309,Kavya Tiwari,Female,2023-12-07,Madurai,Tamil Nadu,South,Email
100310,Neha Tiwari,Male,2024-02-22,Pune,Maharashtra,West,Organic Search
100311,Sneha Gupta,Male,2023-08-11,Indore,Madhya Pradesh,Central,Social Media
100312,Meera Yadav,Female,2024-01-19,Patna,Bihar,East,Organic Search
100313,Aditi Sharma,Male,2024-12-11,Nagpur,Maharashtra,West,Paid Search
100314,Priya Mehta,Male,2023-01-01,Madurai,Tamil Nadu,South,Referral
100315,Neha Saxena,Male,2024-12-04,Mysuru,Karnataka,South,Organic Search
100316,Neha Tiwari,Male,2023-03-10,Indore,Madhya Pradesh,Central,Organic Search
100317,Isha Singh,Female,2025-11-11,Patna,Bihar,East,Organic Search
100318,Nisha Kumar,Male,2025-03-20,Patna,Bihar,East,Paid Search
100319,Rohan Gupta,Male,2025-12-04,Visakhapatnam,Andhra Pradesh,South,Organic Search
100320,Rohan Mehta,Female,2024-02-09,Gurugram,Haryana,North,Organic Search
100321,Pooja Jain,Female,2024-03-23,Madurai,Tamil Nadu,South,Organic Search
100322,Neha Singh,Male,2024-06-09,Nashik,Maharashtra,West,Organic Search
100323,Aarav Pandey,Female,2023-07-15,Bhopal,Madhya Pradesh,Central,Social Media
100324,Vivaan Gupta,Female,2025-02-26,Thiruvananthapuram,Kerala,South,Affiliate
100325,Pooja Patel,Female,2023-06-03,Visakhapatnam,Andhra Pradesh,South,Social Media
100326,Vikram Jain,Female,2025-07-14,Mysuru,Karnataka,South,Affiliate
100327,Pooja Kumar,Male,2025-12-02,Bengaluru,Karnataka,South,Social Media
100328,Meera Mehta,Female,2023-10-10,Varanasi,Uttar Pradesh,North,Referral
100329,Karan Pandey,Female,2024-03-09,New Delhi,Delhi,North,Affiliate
100330,Sneha Patel,Male,2023-02-07,Kolkata,West Bengal,East,Organic Search
100331,Neha Jain,Male,2024-01-11,Kolkata,West Bengal,East,Email
100332,Nisha Gupta,Male,2023-08-19,Hyderabad,Telangana,South,Social Media
100333,Riya Singh,Male,2024-11-11,Madurai,Tamil Nadu,South,Organic Search
100334,Isha Agarwal,Female,2025-05-12,Amritsar,Punjab,North,Organic Search
100335,Vikram Tiwari,Male,2023-03-04,Ahmedabad,Gujarat,West,Organic Search
100336,Nisha Saxena,Male,2023-07-08,Ludhiana,Punjab,North,Paid Search
